"9742894116","Lay's Sweet Basil Flavor 80grams Only in Thailand Very Rare","Lay's Sweet Basil Flavor 80grams Only in Thailand Very Rare","http://ecx.images-amazon.com/images/I/415DtuhZzCL.jpg"
"B0000CNU2N","Light and crispy fried Shrimp Chips are great for appetizers or snacking. Serve plain or with sweet & sour sauce. Assorted colors. Store unused chips in airtight container...will store indefinitely if kept dry.","Welpac Shrimp Flavored Chips","http://ecx.images-amazon.com/images/I/51KRwAh7SEL._SY300_.jpg"
"B0000E5JQV","The taste of a Cajun boiled seafood feast that goes crunch and your mouth goes wow. Zapp's was the first Cajun flavored anything and is still our #1 seller! Zapp's Chips are batch cooked to perfection.","ZAPP'S&reg; Cajun Crawtator Potato Chips","http://ecx.images-amazon.com/images/I/31TZBS4Y46L.jpg"
"B0000E5JR0","If you like spicy dill pickles, you've finally found your way home. Zapp's Chips are batch cooked to perfection.","ZAPP'S&reg; Cajun Dill Potato Chips","http://ecx.images-amazon.com/images/I/31TJW0NY4KL.jpg"
"B0000GIOY8","Lightly salted, sweeter-than-bananas plantain chips. (platano macho)","Mariquitas Plantain Chips, 5 oz.","http://ecx.images-amazon.com/images/I/41HCF44NFSL._SY300_.jpg"
"B000139TF8","An 8 bag gift selection of Zapp's Potato Chips. Zapp's are cooked the old fashioned way a kettle at a time. Then we season 'em with our special seasonings to make your mouth go WOW! Selection includes 8 - 5.5 oz bags of our gourmade potato chips: 2-Cajun Crawtators, 1-Hotter 'n Hot Jalapeno, 1-Regular, 1-Mesquite BBQ, 1-Dill Gator-Tators, 1-Sour Cream & Creole Onion, and 1-Salt & Vinegar.","Zapp's Potato Chips 8 Bag Gift Sampler","http://ecx.images-amazon.com/images/I/41M01RK0KXL._SY300_.jpg"
"B00016JGZI","Coconut Chips, 1 lb.","Coconut Chips, 1 lb.","http://ecx.images-amazon.com/images/I/51j-D6Yg8HL._SY300_.jpg"
"B00016JGXU","Sweetened Banana Chips, 8 oz.","Sweetened Banana Chips, 8 oz.","http://ecx.images-amazon.com/images/I/41ZKWH8X1YL._SX300_.jpg"
"B00016JGY4","Unsweetened Banana Chips, 8 oz.","Unsweetened Banana Chips, 8 oz.","http://ecx.images-amazon.com/images/I/51i895L-UPL._SY300_.jpg"
"B0001CXUDQ","Carob Chips, unsweetened, 1 lb.","Carob Chips, unsweetened, 1 lb.","http://ecx.images-amazon.com/images/I/41kkbqE2M3L._SX300_.jpg"
"B0001CXUEA","Carob Chips, Milk Sweetened","Carob Chips, Milk Sweetened","http://ecx.images-amazon.com/images/I/51y8LulXopL._SY300_.jpg"
"B0001CXUEK","Carob Chips, Barley Malt Sweetened, 1 lb.","Carob Chips, Barley Malt Sweetened, 1 lb.","http://ecx.images-amazon.com/images/I/519myCzBDZL._SY300_.jpg"
"B0001CXUE0","Carob Chips, Sugar Sweetened, 1 lb.","Carob Chips, Sugar Sweetened, 1 lb.","http://ecx.images-amazon.com/images/I/410UCsSu3GL._SY300_.jpg"
"B0001DMSYC","Calbee Hot Garlic Flavored Shrimp Chips","Calbee Hot Garlic Flavored Shrimp Chips","http://ecx.images-amazon.com/images/I/51yHAl8NKRL._SY300_.jpg"
"B0001JXDNG","Candied Red Cherry Chips, 8 oz.","Candied Red Cherry Chips, 8 oz.","http://ecx.images-amazon.com/images/I/41GKNKYCCAL._SX300_.jpg"
"B0001JXDNQ","Candied Red Cherry Chips, 1 lb.","Candied Red Cherry Chips, 1 lb.","http://ecx.images-amazon.com/images/I/41GKNKYCCAL._SX300_.jpg"
"B0001M0YGM","Vegetable Chips - 12 Units / 2.1 oz","Vegetable Chips - 12 Units / 2.1 oz","http://ecx.images-amazon.com/images/I/41KS57A715L.gif"
"B0001W2XSO","Potatoes, peanut oil or a blend of peanut oil and canola, corn, safflower or sunflower oil, sea salt. Kosher","Dirty Sea Salted Potato Chips, 2 Ounce -- 25 per case.","http://ecx.images-amazon.com/images/I/31-KNDW8j5L.jpg"
"B0001W2XT8","Dirty Chips Mesquite BBQ Potato Chips Pack of 25. Kettle cooked in a premium blend of peanut oil for a crunchier taste.","Dirty Chips Mesquite BBQ Potato Chips 2 Oz. Bags Pack of 25","http://ecx.images-amazon.com/images/I/31TPy99YtML.jpg"
"B0001W2YIS","Save on Dirty Potato Chips Funky Fusion. The world famous Dirty Potato Chips come packaged in 25 individual bags of 2 oz. They are great for the lunch box, snack, or anytime one craves a delicious potato chip! This decriptions is informational only. Please review the actual product for ingredients and suggested serving prior to use.","Dirty Chips Funky Fusion Multi-Pack, 2-Oz Bags (Pack of 25)","http://ecx.images-amazon.com/images/I/51DgHSoM5NL._SY300_.jpg"
"B0001W2XU2","Potatoes, peanut oil or a blend of peanut oil and canola, corn, safflower or sunflower oil, salt, dextrose, potato starch, jalapeno pepper powder, natural flavors, dehydrated onion, corn starch, dehydrated garlic, citric acid, extractive of paprika, spice extractive. Kosher","Dirty Cracked Jalapeno Heat Potato Chips, 2 Ounce -- 25 per case.","http://ecx.images-amazon.com/images/I/41zF27pM0ZL.jpg"
"B0002GUJJ4","Wasabi is a popular condiment due to its spicy kick, and these savory shrimp chips lend themselves well to the deliciously spicy flavor. We're sure you're going to love these Shrimp Chips.","Calbee - Shrimp Chips with Wasabi 3.3 Oz.","http://ecx.images-amazon.com/images/I/41cBvEGHWXL._SY300_.jpg"
